"escuela","sexo","edad","ambito","grupo_familiar","estado_padres","educ_madre","educ_padre","trabajo_madre","trabajo_padre","razon_escuela","tutor","duracion_viaje","tiempo_estudio","asignaturas_perdidas","becas","apoyo_familiar","clases_particulares","act_extracurriculares","fue_guarderia","quiere_educ_superior","internet_casa","en_pareja","rel_familia","tiempo_libre","sale_con_amigos","alcohol_diario","alcohol_semanal","salud","ausencias","nota_1er_parcial","nota_2do_parcial","nota_final"
"GP","F",15,"urbano","mas de 3","juntos","primaria (hasta 9no)","primaria (hasta 4to)","servicios publicos","otro","reputacion","padre","30 min a 1 hora","5 a 10 horas",0,"no","si","no","si","si","si","si","no","muy buena","poco","poco","muy poco","muy poco","buena",4,10,12,12
"GP","M",15,"urbano","menos de 3","juntos","universitaria","universitaria","salud","servicios publicos","cursos","padre","1 a 15 min","menos de 2 horas",0,"no","si","si","si","si","","si","no","buena","mas o menos","mas o menos","muy poco","mas o menos","muy buena",2,14,14,14
"GP","M",15,"urbano","mas de 3","juntos","universitaria","secundaria","educacion","otro","cursos","madre","15 a 30 min","2 a 5 horas",0,"no","si","si","no","","si","si","no","muy buena","mucho","mas o menos","muy poco","poco","mas o menos",2,10,10,11
"GP","M",15,"urbano","mas de 3","separados","primaria (hasta 9no)","primaria (hasta 9no)","otro","otro","cerca de casa","otro","1 a 15 min","5 a 10 horas",0,"no","si","no","no","si","si","si","si","buena","muchisimo","poco","muy poco","muy poco","mas o menos",0,14,16,16
"GP","F",16,"urbano","mas de 3","juntos","universitaria","universitaria","salud","otro","cerca de casa","madre","1 a 15 min","menos de 2 horas",0,"no","si","no","no","si","si","","no","buena","mucho","mucho","muy poco","poco","mala",4,14,14,14
"GP","F",16,"urbano","mas de 3","juntos","universitaria","universitaria","servicios publicos","servicios publicos","reputacion","madre","1 a 15 min","5 a 10 horas",0,"no","si","si","si","si","si","si","no","mas o menos","poco","mas o menos","muy poco","poco","mala",6,13,14,14
"GP","F",16,"urbano","mas de 3","","secundaria","secundaria","otro","otro","reputacion","madre","30 min a 1 hora","2 a 5 horas",0,"si","si","no","si","si","si","no","no","muy buena","mas o menos","poco","muy poco","muy poco","buena",4,8,10,10
"GP","M",17,"urbano","mas de 3","juntos","secundaria","primaria (hasta 9no)","servicios publicos","servicios publicos","cursos","","1 a 15 min","menos de 2 horas",3,"no","si","no","si","si","si","si","no","muy buena","muchisimo","muchisimo","poco","mucho","muy buena",16,6,5,5
"GP","M",16,"urbano","menos de 3","","universitaria","secundaria","salud","otro","cerca de casa","padre","1 a 15 min","menos de 2 horas",0,"no","no","si","si","si","si","","no","mas o menos","muy poco","mas o menos","muy poco","mas o menos","muy buena",4,8,10,10
"GP","M",15,"urbano","mas de 3","","universitaria","secundaria","educacion","otro","reputacion","madre","1 a 15 min","2 a 5 horas",0,"no","no","no","no","si","si","si","no","buena","mucho","muy poco","muy poco","muy poco","muy mala",0,13,14,15
"GP","M",15,"urbano","mas de 3","juntos","universitaria","universitaria","salud","salud","otra","padre","1 a 15 min","menos de 2 horas",0,"no","si","si","no","si","si","","no","muy buena","mucho","poco","muy poco","muy poco","muy buena",0,12,15,15
"GP","M",16,"urbano","menos de 3","juntos","universitaria","primaria (hasta 9no)","educacion","","cursos","madre","1 a 15 min","2 a 5 horas",0,"","no","no","si","si","si","","no","buena","muchisimo","muy poco","muy poco","mas o menos","muy buena",2,15,15,16
"GP","M",16,"urbano","menos de 3","juntos","primaria (hasta 9no)","primaria (hasta 9no)","otro","otro","reputacion","madre","15 a 30 min","2 a 5 horas",0,"no","si","no","si","si","si","si","no","muy buena","mucho","mucho","poco","mucho","muy buena",0,13,13,12
"GP","F",15,"rural","mas de 3","","primaria (hasta 9no)","universitaria","servicios publicos","salud","cursos","madre","1 a 15 min","5 a 10 horas",0,"si","si","si","si","si","si","","no","buena","mas o menos","poco","muy poco","muy poco","muy buena",2,10,9,8
"GP","F",16,"urbano","mas de 3","juntos","primaria (hasta 9no)","primaria (hasta 9no)","servicios publicos","servicios publicos","cerca de casa","","1 a 15 min","menos de 2 horas",2,"","si","si","no","no","si","","no","muy mala","poco","poco","muy poco","mas o menos","muy buena",14,6,9,8
"GP","M",15,"urbano","mas de 3","","primaria (hasta 9no)","primaria (hasta 9no)","otro","otro","cerca de casa","madre","1 a 15 min","menos de 2 horas",0,"no","si","si","no","si","si","si","no","buena","poco","poco","muy poco","poco","muy buena",2,12,12,11
"GP","M",15,"urbano","mas de 3","juntos","universitaria","primaria (hasta 9no)","salud","servicios publicos","otra","madre","1 a 15 min","menos de 2 horas",0,"no","no","si","no","si","si","si","no","mala","poco","mucho","poco","mucho","muy mala",4,15,16,15
"GP","M",16,"urbano","menos de 3","separados","secundaria","universitaria","servicios publicos","","cerca de casa","madre","1 a 15 min","2 a 5 horas",0,"si","si","no","si","si","si","si","no","muy buena","mas o menos","mas o menos","muy poco","muy poco","muy buena",4,11,11,11
"GP","M",16,"urbano","mas de 3","juntos","universitaria","universitaria","educacion","educacion","cerca de casa","madre","1 a 15 min","2 a 5 horas",0,"no","si","si","si","","si","si","si","buena","mucho","muchisimo","muchisimo","muchisimo","muy buena",16,10,12,11
"GP","M",15,"urbano","mas de 3","juntos","universitaria","universitaria","salud","servicios publicos","cerca de casa","madre","1 a 15 min","2 a 5 horas",0,"no","si","si","no","no","si","si","no","muy buena","mucho","poco","mas o menos","mucho","muy buena",0,9,11,12
"GP","M",15,"urbano","mas de 3","juntos","universitaria","universitaria","servicios publicos","servicios publicos","reputacion","madre","15 a 30 min","2 a 5 horas",0,"no","si","no","si","si","si","si","no","buena","mas o menos","muy poco","muy poco","muy poco","muy buena",0,17,16,17
"GP","M",15,"rural","mas de 3","juntos","universitaria","secundaria","educacion","desde casa","cursos","madre","1 a 15 min","2 a 5 horas",0,"no","si","no","si","si","si","","si","buena","muchisimo","poco","muy poco","muy poco","muy buena",0,17,16,16
"GP","M",15,"urbano","menos de 3","juntos","secundaria","secundaria","otro","otro","cursos","madre","1 a 15 min","2 a 5 horas",0,"no","no","no","si","no","si","","no","muy buena","mas o menos","poco","muy poco","muy poco","mala",0,8,10,12
"GP","M",16,"urbano","mas de 3","juntos","secundaria","primaria (hasta 9no)","otro","otro","cerca de casa","madre","1 a 15 min","menos de 2 horas",0,"no","si","si","no","no","si","","no","muy buena","mucho","mas o menos","muy poco","muy poco","muy buena",0,12,14,15
"GP","F",15,"urbano","mas de 3","juntos","primaria (hasta 9no)","secundaria","otro","otro","otra","padre","15 a 30 min","menos de 2 horas",0,"no","si","no","si","si","si","no","no","mas o menos","muchisimo","muy poco","muy poco","muy poco","muy buena",0,8,7,6
"GP","M",15,"urbano","menos de 3","juntos","universitaria","secundaria","educacion","servicios publicos","cerca de casa","madre","1 a 15 min","5 a 10 horas",0,"no","si","no","si","si","","si","no","muy buena","mucho","mas o menos","muy poco","muy poco","buena",2,15,16,18
"GP","M",16,"rural","mas de 3","separados","universitaria","universitaria","otro","educacion","reputacion","madre","15 a 30 min","5 a 10 horas",0,"no","si","no","si","si","si","si","si","mala","mucho","mas o menos","muy poco","muy poco","muy buena",7,15,16,15
"GP","F",15,"rural","mas de 3","juntos","secundaria","universitaria","servicios publicos","salud","cursos","madre","1 a 15 min","5 a 10 horas",0,"si","si","si","si","","si","si","no","buena","mas o menos","poco","muy poco","muy poco","muy buena",2,12,12,11
"GP","F",15,"rural","mas de 3","juntos","primaria (hasta 9no)","primaria (hasta 9no)","desde casa","otro","reputacion","madre","1 a 15 min","menos de 2 horas",0,"si","si","si","si","si","si","no","no","buena","mas o menos","muy poco","muy poco","muy poco","mala",8,14,13,13
"GP","F",16,"urbano","menos de 3","juntos","primaria (hasta 9no)","primaria (hasta 9no)","otro","otro","cerca de casa","madre","15 a 30 min","2 a 5 horas",1,"no","si","no","si","no","si","si","si","mas o menos","mas o menos","mas o menos","muy poco","poco","mas o menos",25,7,10,11
"GP","M",15,"urbano","menos de 3","juntos","universitaria","universitaria","educacion","otro","cerca de casa","otro","1 a 15 min","menos de 2 horas",0,"no","si","no","no","no","si","si","si","muy buena","mucho","mas o menos","poco","mucho","muy buena",8,12,12,12
"GP","M",15,"urbano","mas de 3","juntos","universitaria","universitaria","servicios publicos","educacion","cursos","padre","1 a 15 min","2 a 5 horas",0,"no","si","no","si","","","","no","buena","mas o menos","mas o menos","muy poco","muy poco","muy buena",2,19,18,18
"GP","M",15,"urbano","mas de 3","juntos","primaria (hasta 9no)","primaria (hasta 9no)","servicios publicos","servicios publicos","cursos","padre","1 a 15 min","menos de 2 horas",0,"si","si","no","no","si","si","si","no","muy buena","mucho","muy poco","muy poco","muy poco","muy mala",0,8,8,11
"GP","F",16,"urbano","menos de 3","juntos","primaria (hasta 9no)","primaria (hasta 9no)","otro","desde casa","cursos","padre","15 a 30 min","2 a 5 horas",1,"si","no","no","si","si","si","si","no","buena","mas o menos","mas o menos","poco","poco","muy buena",14,10,10,9
"GP","F",15,"urbano","menos de 3","separados","universitaria","secundaria","otro","otro","cursos","madre","1 a 15 min","2 a 5 horas",0,"si","si","si","si","","si","si","si","muy buena","poco","poco","muy poco","muy poco","muy buena",8,8,8,6
"GP","F",16,"urbano","menos de 3","separados","secundaria","secundaria","otro","servicios publicos","cerca de casa","madre","1 a 15 min","2 a 5 horas",0,"no","si","no","no","","si","si","no","mala","mas o menos","muchisimo","muy poco","mucho","mas o menos",12,11,12,11
"GP","M",16,"urbano","mas de 3","juntos","universitaria","secundaria","salud","servicios publicos","reputacion","madre","1 a 15 min","mas de 10 horas",0,"no","no","no","si","si","si","si","no","buena","poco","poco","muy poco","muy poco","mala",4,19,19,20
"GP","M",15,"urbano","mas de 3","juntos","universitaria","primaria (hasta 9no)","educacion","otro","cerca de casa","madre","1 a 15 min","2 a 5 horas",0,"no","si","si","no","si","si","no","no","buena","mas o menos","mas o menos","poco","poco","muy buena",2,15,15,14
"GP","F",15,"urbano","mas de 3","juntos","universitaria","universitaria","servicios publicos","educacion","otra","padre","1 a 15 min","2 a 5 horas",1,"si","si","no","si","no","si","","no","buena","mucho","mucho","muy poco","muy poco","mas o menos",2,7,7,7
"GP","F",16,"urbano","menos de 3","juntos","primaria (hasta 9no)","primaria (hasta 9no)","servicios publicos","servicios publicos","cursos","madre","30 min a 1 hora","2 a 5 horas",0,"no","si","si","no","si","si","si","no","buena","mas o menos","mas o menos","poco","mas o menos","buena",2,12,13,13
"GP","F",15,"urbano","menos de 3","juntos","universitaria","primaria (hasta 9no)","salud","","otra","madre","1 a 15 min","2 a 5 horas",0,"no","si","si","no","","si","si","no","buena","mas o menos","mas o menos","muy poco","muy poco","muy buena",2,11,13,13
"GP","M",15,"urbano","menos de 3","separados","universitaria","primaria (hasta 9no)","salud","salud","otra","padre","15 a 30 min","menos de 2 horas",1,"no","no","no","no","si","","no","no","muy buena","muchisimo","muchisimo","mas o menos","mucho","muy buena",6,11,11,10
"GP","F",15,"urbano","mas de 3","juntos","universitaria","universitaria","servicios publicos","servicios publicos","cursos","madre","1 a 15 min","menos de 2 horas",0,"si","si","si","no","si","si","si","no","mas o menos","mas o menos","mucho","poco","mas o menos","muy buena",0,8,10,11
"GP","F",15,"urbano","menos de 3","separados","secundaria","secundaria","otro","otro","otra","","1 a 15 min","menos de 2 horas",0,"no","no","si","no","si","","si","no","muy buena","mas o menos","mucho","mucho","mucho","muy mala",6,10,13,13
"GP","F",16,"urbano","mas de 3","separados","primaria (hasta 9no)","primaria (hasta 4to)","otro","otro","otra","","1 a 15 min","2 a 5 horas",0,"no","no","si","si","si","si","si","si","muy buena","mas o menos","mucho","muy poco","muy poco","mala",8,8,9,10
"GP","F",15,"urbano","mas de 3","separados","universitaria","secundaria","servicios publicos","servicios publicos","reputacion","madre","1 a 15 min","2 a 5 horas",0,"no","si","si","si","si","si","si","no","buena","mas o menos","poco","muy poco","muy poco","muy mala",0,14,15,15
"GP","M",15,"urbano","mas de 3","","universitaria","universitaria","educacion","salud","reputacion","","1 a 15 min","2 a 5 horas",0,"no","si","no","si","","si","no","no","mas o menos","poco","poco","muy poco","muy poco","muy buena",4,14,15,15
"GP","M",15,"urbano","menos de 3","juntos","primaria (hasta 4to)","primaria (hasta 9no)","otro","desde casa","cerca de casa","padre","1 a 15 min","2 a 5 horas",0,"si","si","no","si","","si","si","no","buena","mas o menos","poco","muy poco","muy poco","muy buena",2,9,10,9
"GP","F",16,"urbano","mas de 3","juntos","universitaria","primaria (hasta 9no)","servicios publicos","otro","cursos","madre","1 a 15 min","2 a 5 horas",0,"","si","no","no","si","si","si","no","buena","poco","mas o menos","muy poco","muy poco","muy buena",2,15,16,16
"GP","F",16,"rural","mas de 3","juntos","universitaria","universitaria","salud","educacion","otra","madre","1 a 15 min","2 a 5 horas",0,"no","si","no","si","si","si","no","no","mala","mucho","mucho","poco","mas o menos","buena",6,10,11,11
"GP","F",16,"urbano","mas de 3","juntos","primaria (hasta 4to)","primaria (hasta 4to)","servicios publicos","servicios publicos","cursos","padre","mas de 1 hora","menos de 2 horas",0,"si","si","no","si","no","","si","si","muy buena","muchisimo","muchisimo","muchisimo","muchisimo","muy buena",6,10,8,11
"GP","F",16,"urbano","menos de 3","","primaria (hasta 4to)","primaria (hasta 9no)","otro","servicios publicos","reputacion","padre","1 a 15 min","2 a 5 horas",0,"si","no","no","si","si","si","si","no","buena","mucho","mas o menos","muy poco","muy poco","muy mala",4,8,10,9
"GP","F",16,"urbano","mas de 3","juntos","universitaria","secundaria","educacion","salud","cerca de casa","madre","1 a 15 min","5 a 10 horas",0,"si","si","si","si","si","si","si","no","mas o menos","mucho","mucho","poco","mucho","buena",2,10,9,9
"GP","F",15,"urbano","menos de 3","juntos","universitaria","secundaria","servicios publicos","servicios publicos","reputacion","padre","1 a 15 min","2 a 5 horas",0,"si","no","no","si","si","si","si","si","buena","mucho","mucho","poco","mucho","mala",0,10,10,10
"GP","F",16,"urbano","menos de 3","juntos","universitaria","secundaria","educacion","servicios publicos","cursos","madre","30 min a 1 hora","2 a 5 horas",0,"no","si","no","si","","si","si","no","muy buena","mucho","mas o menos","muy poco","poco","muy mala",2,16,15,15
"GP","M",15,"urbano","mas de 3","separados","universitaria","universitaria","otro","servicios publicos","reputacion","madre","1 a 15 min","mas de 10 horas",0,"no","si","no","si","no","si","si","si","muy mala","mas o menos","mas o menos","muchisimo","muchisimo","mas o menos",4,13,13,12
"GP","F",16,"urbano","mas de 3","juntos","secundaria","primaria (hasta 4to)","servicios publicos","","cursos","madre","1 a 15 min","mas de 10 horas",0,"si","si","si","no","si","si","si","no","buena","mas o menos","mas o menos","muy poco","poco","muy buena",4,7,7,6
"GP","F",15,"rural","menos de 3","","primaria (hasta 9no)","primaria (hasta 9no)","salud","servicios publicos","reputacion","madre","15 a 30 min","2 a 5 horas",0,"si","si","si","no","si","","si","no","buena","muy poco","mas o menos","muy poco","mas o menos","buena",2,8,9,8
"GP","F",15,"rural","menos de 3","","secundaria","primaria (hasta 4to)","otro","otro","reputacion","padre","15 a 30 min","mas de 10 horas",0,"no","si","no","no","no","si","si","no","buena","mucho","poco","poco","mas o menos","mas o menos",12,16,16,16
"GP","M",16,"urbano","mas de 3","juntos","secundaria","primaria (hasta 4to)","otro","otro","reputacion","padre","15 a 30 min","mas de 10 horas",0,"no","si","si","no","si","si","si","no","buena","mas o menos","poco","muy poco","muy poco","muy buena",0,13,15,15
"GP","M",15,"urbano","mas de 3","","universitaria","primaria (hasta 9no)","otro","otro","cursos","madre","1 a 15 min","mas de 10 horas",0,"no","no","no","no","si","si","si","no","mas o menos","mas o menos","mas o menos","muy poco","muy poco","mas o menos",0,10,10,10
"GP","F",15,"rural","mas de 3","","primaria (hasta 4to)","primaria (hasta 4to)","otro","","reputacion","madre","1 a 15 min","2 a 5 horas",2,"si","si","no","no","no","si","si","si","mas o menos","mas o menos","mucho","poco","mucho","muy buena",2,8,6,5
"GP","M",16,"urbano","mas de 3","juntos","secundaria","primaria (hasta 4to)","otro","otro","reputacion","madre","1 a 15 min","menos de 2 horas",0,"no","no","no","si","si","si","no","no","muy buena","mas o menos","poco","poco","poco","muy buena",2,12,12,14
"GP","F",16,"urbano","mas de 3","juntos","secundaria","secundaria","otro","servicios publicos","cerca de casa","madre","1 a 15 min","2 a 5 horas",0,"si","si","si","si","","si","si","no","buena","mas o menos","mas o menos","poco","mucho","muy buena",54,11,12,11
"GP","M",15,"urbano","mas de 3","juntos","universitaria","secundaria","educacion","otro","cerca de casa","madre","1 a 15 min","2 a 5 horas",0,"no","si","si","si","si","si","si","no","buena","mas o menos","mas o menos","poco","mas o menos","muy buena",6,9,9,10
"GP","M",15,"urbano","mas de 3","juntos","universitaria","ninguna","educacion","","cursos","","15 a 30 min","mas de 10 horas",0,"no","no","no","si","si","si","si","no","mas o menos","mucho","mas o menos","muy poco","muy poco","muy mala",8,11,11,10
"GP","F",16,"urbano","mas de 3","juntos","primaria (hasta 9no)","primaria (hasta 9no)","otro","otro","reputacion","madre","1 a 15 min","mas de 10 horas",0,"no","no","si","no","","si","si","si","muy buena","poco","mas o menos","muy poco","mas o menos","mas o menos",0,11,11,11
"GP","M",17,"urbano","mas de 3","","primaria (hasta 9no)","primaria (hasta 4to)","otro","otro","cerca de casa","madre","15 a 30 min","menos de 2 horas",3,"si","si","no","si","si","no","","no","buena","muchisimo","muy poco","muy poco","muy poco","mas o menos",2,8,8,10
"GP","F",16,"urbano","mas de 3","juntos","secundaria","universitaria","desde casa","otro","cursos","madre","1 a 15 min","2 a 5 horas",0,"no","si","no","no","si","si","si","no","mala","mucho","mas o menos","muy poco","poco","mas o menos",12,5,5,5
"GP","M",15,"urbano","mas de 3","juntos","primaria (hasta 9no)","secundaria","otro","servicios publicos","cursos","padre","1 a 15 min","menos de 2 horas",0,"si","si","si","si","no","","si","si","mas o menos","poco","poco","muy poco","mas o menos","mas o menos",2,10,12,12
"GP","M",15,"urbano","mas de 3","juntos","primaria (hasta 9no)","secundaria","otro","","cerca de casa","madre","1 a 15 min","5 a 10 horas",0,"si","no","si","no","no","si","si","no","muy buena","mas o menos","poco","muy poco","poco","muy buena",4,11,10,11
"GP","F",15,"urbano","menos de 3","juntos","secundaria","primaria (hasta 9no)","servicios publicos","otro","reputacion","madre","1 a 15 min","2 a 5 horas",0,"","si","si","no","si","si","si","no","buena","mucho","mucho","muy poco","muy poco","muy buena",10,7,6,6
"GP","M",15,"urbano","menos de 3","","primaria (hasta 9no)","primaria (hasta 9no)","servicios publicos","servicios publicos","cerca de casa","madre","15 a 30 min","2 a 5 horas",0,"no","no","si","si","si","si","si","no","muy buena","mas o menos","mas o menos","muy poco","mas o menos","buena",4,15,15,15
"GP","F",15,"urbano","mas de 3","juntos","primaria (hasta 4to)","primaria (hasta 4to)","otro","","cerca de casa","padre","1 a 15 min","2 a 5 horas",0,"","si","no","si","no","si","si","no","buena","mas o menos","poco","poco","mas o menos","buena",2,9,10,10
"GP","F",15,"urbano","mas de 3","juntos","universitaria","universitaria","servicios publicos","servicios publicos","reputacion","padre","15 a 30 min","2 a 5 horas",2,"no","no","si","no","si","si","si","si","buena","mucho","mucho","poco","mas o menos","muy buena",6,7,9,8
"GP","F",16,"urbano","menos de 3","juntos","primaria (hasta 9no)","primaria (hasta 9no)","desde casa","otro","cursos","madre","1 a 15 min","2 a 5 horas",0,"no","si","no","no","","si","no","no","buena","mas o menos","mucho","muy poco","poco","mala",4,8,7,6
"GP","F",15,"urbano","mas de 3","juntos","universitaria","primaria (hasta 9no)","otro","otro","reputacion","madre","1 a 15 min","5 a 10 horas",0,"no","si","no","si","","si","si","no","muy buena","mas o menos","mas o menos","muy poco","mas o menos","muy mala",4,13,14,14
"GP","M",16,"urbano","mas de 3","juntos","primaria (hasta 9no)","primaria (hasta 9no)","servicios publicos","otro","reputacion","padre","15 a 30 min","2 a 5 horas",1,"no","no","si","si","no","","si","no","buena","mucho","poco","muy poco","muy poco","mas o menos",12,11,10,10
"GP","M",16,"urbano","menos de 3","separados","universitaria","universitaria","educacion","salud","reputacion","","1 a 15 min","2 a 5 horas",0,"no","si","no","no","si","si","no","no","buena","muy poco","mas o menos","mas o menos","muchisimo","muy buena",18,8,6,7
"GP","F",16,"urbano","mas de 3","juntos","secundaria","secundaria","otro","otro","cerca de casa","madre","1 a 15 min","5 a 10 horas",0,"no","si","si","no","si","","si","si","buena","mas o menos","mas o menos","muy poco","mas o menos","buena",0,7,7,8
"GP","F",15,"urbano","mas de 3","juntos","universitaria","secundaria","servicios publicos","otro","reputacion","madre","1 a 15 min","menos de 2 horas",0,"no","no","si","si","si","si","si","no","buena","muchisimo","muchisimo","muy poco","mas o menos","muy mala",4,16,17,18
"GP","F",16,"urbano","menos de 3","juntos","secundaria","primaria (hasta 4to)","otro","otro","cerca de casa","padre","1 a 15 min","2 a 5 horas",0,"si","si","no","no","si","","no","no","mas o menos","mas o menos","mas o menos","poco","mas o menos","mala",4,7,6,6
"GP","F",16,"urbano","mas de 3","","universitaria","primaria (hasta 9no)","educacion","servicios publicos","cerca de casa","madre","15 a 30 min","2 a 5 horas",0,"no","si","si","si","si","si","si","no","muy buena","mas o menos","mas o menos","muy poco","muy poco","muy mala",0,11,10,10
"GP","M",15,"urbano","menos de 3","juntos","primaria (hasta 9no)","primaria (hasta 9no)","servicios publicos","salud","reputacion","madre","1 a 15 min","mas de 10 horas",0,"no","si","no","si","si","si","si","no","buena","mas o menos","mucho","muy poco","muy poco","buena",6,11,13,14
"GP","F",15,"rural","mas de 3","","primaria (hasta 4to)","primaria (hasta 4to)","desde casa","otro","cerca de casa","madre","15 a 30 min","mas de 10 horas",1,"si","si","si","si","si","","si","no","mas o menos","muy poco","poco","muy poco","muy poco","muy mala",2,7,10,10
"GP","M",16,"rural","mas de 3","","universitaria","secundaria","servicios publicos","otro","reputacion","madre","15 a 30 min","menos de 2 horas",0,"si","si","no","si","no","si","si","no","mas o menos","mas o menos","mas o menos","muy poco","muy poco","buena",2,11,15,15
"GP","F",16,"urbano","mas de 3","","primaria (hasta 9no)","primaria (hasta 4to)","otro","otro","cursos","madre","1 a 15 min","2 a 5 horas",0,"no","si","si","no","si","si","no","si","buena","mas o menos","muchisimo","muy poco","muy poco","muy buena",2,8,9,10
"GP","F",16,"urbano","mas de 3","juntos","universitaria","universitaria","otro","otro","reputacion","","1 a 15 min","menos de 2 horas",0,"no","no","no","si","no","si","si","no","muy buena","mas o menos","mucho","muy poco","poco","muy mala",6,11,14,14
"GP","F",16,"urbano","mas de 3","juntos","universitaria","secundaria","otro","desde casa","cursos","madre","1 a 15 min","5 a 10 horas",0,"si","si","si","no","si","","si","no","muy buena","mas o menos","muchisimo","muy poco","muy poco","mas o menos",0,7,9,8
"GP","M",16,"urbano","mas de 3","juntos","universitaria","universitaria","servicios publicos","servicios publicos","otra","madre","1 a 15 min","menos de 2 horas",0,"si","si","si","si","si","","si","no","buena","muchisimo","muchisimo","muchisimo","muchisimo","buena",14,7,7,5
"GP","M",16,"urbano","mas de 3","juntos","universitaria","universitaria","servicios publicos","educacion","otra","padre","1 a 15 min","5 a 10 horas",0,"","si","no","si","si","si","si","si","buena","mucho","mas o menos","muy poco","muy poco","buena",0,16,17,17
"GP","M",15,"urbano","mas de 3","juntos","universitaria","universitaria","servicios publicos","otro","cursos","madre","1 a 15 min","menos de 2 horas",0,"no","si","no","si","no","si","","no","muy buena","mas o menos","mas o menos","muy poco","muy poco","muy buena",4,10,13,14
"GP","F",15,"urbano","mas de 3","","secundaria","primaria (hasta 9no)","servicios publicos","otro","cerca de casa","madre","15 a 30 min","2 a 5 horas",0,"si","si","si","no","si","","","no","buena","mas o menos","muchisimo","muy poco","muy poco","mala",26,7,6,6
"GP","M",15,"urbano","mas de 3","separados","secundaria","universitaria","servicios publicos","","cursos","madre","1 a 15 min","2 a 5 horas",0,"no","si","si","si","si","si","si","no","muy buena","mucho","mucho","muy poco","muy poco","muy mala",0,16,18,18
"GP","F",15,"urbano","mas de 3","separados","secundaria","secundaria","otro","salud","reputacion","padre","1 a 15 min","mas de 10 horas",0,"si","no","no","no","si","","no","no","buena","mas o menos","mas o menos","muy poco","muy poco","buena",10,10,11,11
"GP","F",15,"urbano","mas de 3","juntos","primaria (hasta 9no)","primaria (hasta 9no)","otro","otro","cursos","madre","1 a 15 min","mas de 10 horas",0,"si","si","si","no","si","si","si","no","muy buena","muy poco","poco","muy poco","muy poco","mas o menos",8,7,8,8
